experiment_id,condition_order_index,condition_id,condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs,R_roll,R_pitch,R_yaw
EX0521-092111,13,C08,prep,15,15,0,714499.092,0.685,-0.678,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,1.906,0.000,-1.720,-0.060,0.820,0.016,0.981,0.012,0.000,0.000,-0.048,0.000,0.000,0.000,0.000,0,2,0,1,7,255,1200,200,0,0,-89.602,0.602,-31.110
EX0521-092111,13,C08,prep,15,15,0,714504.091,0.685,-0.678,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.672,0.002,0.540,0.000,-0.400,0.012,1.014,0.007,0.002,0.000,-0.048,0.000,0.000,0.000,0.000,0,2,0,1,7,255,1200,200,0,0,-89.602,0.602,-31.110
EX0521-092111,13,C08,prep,16,16,0,714509.091,0.685,-0.678,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.457,0.037,0.400,0.000,-0.220,0.017,0.971,0.013,0.014,-0.034,-0.118,0.000,0.000,0.000,0.000,0,2,0,1,7,255,1200,200,0,0,-89.596,0.603,-31.110
EX0521-092111,13,C08,prep,16,16,0,714514.092,0.685,-0.678,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,2.438,0.026,-2.220,-0.120,1.000,0.012,1.013,0.006,0.004,0.026,0.192,0.000,0.000,0.000,0.000,0,2,0,1,7,255,1200,200,0,0,-89.585,0.608,-31.110
EX0521-092111,13,C08,prep,84,84,0,714519.092,0.685,-0.678,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,3.901,0.016,3.520,0.060,-1.680,0.015,0.986,0.010,0.008,-0.014,-0.070,0.000,0.000,0.000,0.000,0,2,0,1,7,255,1200,200,0,0,-89.603,0.600,-31.110
EX0521-092111,13,C08,prep,84,84,0,714524.092,0.685,-0.678,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,4.665,0.009,-4.220,-0.180,1.980,0.014,0.991,0.010,0.004,-0.008,-0.024,0.000,0.000,0.000,0.000,0,2,0,1,7,255,1200,200,0,0,-89.582,0.610,-31.110
EX0521-092111,13,C08,prep,84,84,0,714529.092,0.685,-0.678,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,5.297,0.009,4.800,0.060,-2.240,0.011,1.009,0.006,0.004,-0.008,-0.024,0.000,0.000,0.000,0.000,0,2,0,1,7,255,1200,200,0,0,-89.606,0.599,-31.110
EX0521-092111,13,C08,prep,84,84,0,714534.092,0.685,-0.678,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,4.479,0.008,-4.100,-0.120,1.800,0.016,0.974,0.014,0.002,-0.008,-0.024,0.000,0.000,0.000,0.000,0,2,0,1,7,255,1200,200,0,0,-89.583,0.608,-31.110
EX0521-092111,13,C08,prep,84,84,0,714539.091,0.685,-0.678,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,3.339,0.042,3.040,0.000,-1.380,0.011,1.015,0.004,0.002,0.042,0.154,0.000,0.000,0.000,0.000,0,2,0,1,7,255,1200,200,0,0,-89.599,0.601,-31.110
EX0521-092111,13,C08,prep,84,84,0,714544.092,0.685,-0.678,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,1.591,0.044,-1.480,-0.060,0.580,0.015,0.976,0.014,0.002,-0.044,-0.172,0.000,0.000,0.000,0.000,0,2,0,1,7,255,1200,200,0,0,-89.589,0.602,-31.110
EX0521-092111,13,C08,prep,101,101,0,714549.092,0.685,-0.678,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.450,0.015,-0.320,-0.180,0.260,0.013,1.003,0.008,0.006,0.014,0.090,0.000,0.000,0.000,0.000,0,2,0,1,7,255,1200,200,0,0,-89.589,0.602,-31.110
EX0521-092111,13,C08,prep,101,101,0,714554.091,0.685,-0.678,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,2.436,0.007,2.180,0.120,-1.080,0.014,0.992,0.009,0.006,0.004,-0.014,0.000,0.000,0.000,0.000,0,2,0,1,7,255,1200,200,0,0,-89.600,0.596,-31.110
EX0521-092111,13,C08,prep,101,101,0,714559.095,0.685,-0.678,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,3.593,0.007,-3.260,-0.300,1.480,0.014,0.992,0.010,0.006,0.004,-0.014,0.000,0.000,0.000,0.000,0,2,0,1,7,255,1200,200,0,0,-89.584,0.604,-31.110
EX0521-092111,13,C08,prep,101,101,0,714564.092,0.685,-0.678,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,3.852,0.004,3.520,0.120,-1.560,0.012,0.996,0.010,0.004,-0.002,-0.014,0.000,0.000,0.000,0.000,0,2,0,1,7,255,1200,200,0,0,-89.602,0.596,-31.110
EX0521-092111,13,C08,prep,101,101,0,714569.091,0.685,-0.678,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,2.122,0.004,-1.980,-0.060,0.760,0.014,0.992,0.006,0.004,-0.002,-0.020,0.000,0.000,0.000,0.000,0,2,0,1,7,255,1200,200,0,0,-89.592,0.600,-31.110
EX0521-092111,13,C08,prep,101,101,0,714574.092,0.685,-0.678,0.193,0.187,0,0,0,0,0,0,0,0,0,0.000,0,0,0.714,0.012,-0.620,-0.240,0.260,0.012,1.000,0.013,-0.012,-0.002,0.024,0.000,0.000,0.000,0.000,0,2,0,1,7,255,1200,200,0,0,-89.584,0.600,-31.110
