experiment_id,condition_order_index,condition_id,condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs,R_roll,R_pitch,R_yaw
EX0521-092111,11,S01,prep,45,45,0,657309.093,0.685,-0.677,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.378,0.016,-0.200,0.320,0.020,0.013,0.994,0.010,-0.008,-0.014,-0.010,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.494,0.653,-31.439
EX0521-092111,11,S01,prep,45,45,0,657314.092,0.685,-0.677,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.405,0.022,-0.140,0.380,0.020,0.017,0.996,0.007,-0.002,0.022,0.002,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.494,0.655,-31.439
EX0521-092111,11,S01,prep,46,46,0,657319.092,0.685,-0.677,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.133,0.024,0.040,-0.120,-0.040,0.015,0.996,0.010,0.010,0.022,0.022,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.494,0.654,-31.439
EX0521-092111,11,S01,prep,46,46,0,657324.093,0.685,-0.677,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.244,0.019,0.040,-0.240,0.020,0.012,0.995,0.012,0.010,0.016,0.022,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.494,0.654,-31.439
EX0521-092111,11,S01,prep,46,46,0,657329.091,0.685,-0.677,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.154,0.023,-0.140,-0.060,0.020,0.014,0.992,0.014,-0.020,0.012,0.012,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.489,0.654,-31.439
EX0521-092111,11,S01,prep,46,46,0,657334.092,0.685,-0.677,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.287,0.023,-0.260,-0.120,0.020,0.015,0.993,0.009,-0.020,0.012,-0.006,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.489,0.654,-31.439
EX0521-092111,11,S01,prep,48,48,0,657339.092,0.685,-0.677,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.249,0.016,0.220,-0.060,-0.100,0.014,0.996,0.010,0.000,0.016,-0.006,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.490,0.654,-31.439
EX0521-092111,11,S01,prep,48,48,0,657344.091,0.685,-0.676,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.190,0.016,0.160,0.020,-0.100,0.014,0.992,0.014,0.000,0.016,-0.006,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.485,0.654,-31.439
EX0521-092111,11,S01,prep,48,48,0,657349.091,0.685,-0.676,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.793,0.004,-0.740,-0.060,0.280,0.016,0.993,0.010,0.000,0.004,-0.006,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.481,0.654,-31.439
EX0521-092111,11,S01,prep,48,48,0,657354.092,0.685,-0.676,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.453,0.009,0.420,-0.060,-0.160,0.015,0.994,0.010,0.008,0.004,-0.006,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.481,0.654,-31.439
EX0521-092111,11,S01,prep,63,63,0,657359.093,0.685,-0.676,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.128,0.009,-0.080,-0.060,0.080,0.016,0.991,0.013,0.008,0.004,-0.006,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.481,0.654,-31.439
EX0521-092111,11,S01,prep,63,63,0,657364.093,0.685,-0.676,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.393,0.013,-0.380,-0.060,0.080,0.014,0.999,0.009,0.006,0.012,0.002,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.481,0.654,-31.439
EX0521-092111,11,S01,prep,63,63,0,657369.091,0.685,-0.676,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.586,0.012,0.540,-0.060,-0.220,0.017,0.986,0.011,0.006,-0.010,-0.030,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.482,0.656,-31.439
EX0521-092111,11,S01,prep,63,63,0,657374.092,0.685,-0.676,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.580,0.021,-0.560,-0.060,0.140,0.013,1.000,0.010,0.006,0.020,0.050,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.482,0.656,-31.439
EX0521-092111,11,S01,prep,80,80,0,657379.092,0.685,-0.676,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.642,0.018,0.600,-0.060,-0.220,0.016,0.988,0.011,0.018,0.000,-0.058,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.485,0.656,-31.439
EX0521-092111,11,S01,prep,80,80,0,657384.091,0.685,-0.676,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.598,0.015,-0.560,-0.060,0.200,0.013,1.000,0.011,-0.004,0.014,0.060,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.485,0.656,-31.439
EX0521-092111,11,S01,prep,95,95,0,657389.091,0.685,-0.676,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.510,0.006,0.480,-0.060,-0.160,0.016,0.988,0.013,0.006,0.000,-0.054,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.485,0.656,-31.439
EX0521-092111,11,S01,prep,95,95,0,657394.092,0.685,-0.676,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.448,0.015,-0.440,0.020,0.080,0.013,0.997,0.010,-0.006,0.014,0.032,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.485,0.656,-31.439
EX0521-092111,11,S01,prep,96,96,0,657399.092,0.685,-0.676,0.195,0.189,0,0,0,0,0,0,0,0,0,0.000,0,0,0.265,0.019,-0.080,-0.240,0.080,0.014,0.994,0.014,-0.006,-0.018,0.004,0.000,0.000,0.000,0.000,0,2,0,3,7,255,1200,250,0,0,-89.480,0.656,-31.439
