condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,2922,2922,0,22535.412,0.994,0.046,-0.058,-0.075,3089,189,1151,3093,4009,1007,643,1045,0,0.000,1,1,0.558,0.026,0.060,-0.240,-0.500,-0.118,-0.093,0.988,-0.026,0.002,0.000,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,2922,2922,0,22540.412,0.994,0.046,-0.058,-0.075,3095,197,1157,3087,4016,1006,643,1043,0,0.000,1,1,0.586,0.010,0.060,-0.300,-0.500,-0.117,-0.093,0.989,-0.010,0.000,0.004,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,2922,2922,0,22545.412,0.994,0.046,-0.058,-0.075,3080,197,1156,3089,4040,1013,643,1048,0,0.000,1,1,0.404,0.004,-0.060,-0.240,-0.320,-0.115,-0.098,0.988,0.002,-0.004,-0.004,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,2938,2938,0,22550.412,0.994,0.046,-0.058,-0.075,3089,197,1159,3092,4028,1008,639,1045,0,0.000,1,1,0.403,0.042,0.180,-0.300,-0.200,-0.117,-0.098,0.987,0.002,-0.042,-0.004,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,2938,2938,0,22555.412,0.994,0.046,-0.058,-0.075,3087,191,1160,3087,4020,1008,645,1045,0,0.000,1,1,0.513,0.042,0.360,-0.360,-0.060,-0.116,-0.092,0.987,0.000,-0.042,-0.016,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,2938,2938,0,22560.412,0.994,0.046,-0.058,-0.075,3095,196,1157,3089,4021,1016,643,1047,0,0.000,1,1,0.361,0.012,0.180,-0.240,-0.200,-0.117,-0.089,0.989,0.000,0.012,-0.016,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,2955,2955,0,22565.412,0.994,0.046,-0.058,-0.075,3093,190,1158,3096,4011,1012,639,1047,0,0.000,1,1,0.397,0.012,0.240,-0.180,-0.260,-0.114,-0.099,0.986,0.000,0.012,-0.022,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,2955,2955,0,22570.412,0.994,0.046,-0.058,-0.075,3100,197,1152,3091,4024,1014,638,1046,0,0.000,1,1,0.646,0.048,0.480,-0.360,0.240,-0.117,-0.098,0.987,0.006,-0.048,-0.016,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,2988,2988,0,22575.412,0.994,0.046,-0.058,-0.075,3096,197,1152,3085,4015,1014,645,1049,0,0.000,1,1,0.540,0.048,0.360,-0.360,0.180,-0.122,-0.085,0.992,0.006,-0.048,-0.016,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,2988,2988,0,22580.412,0.994,0.046,-0.058,-0.075,3089,197,1151,3093,4021,1015,637,1047,0,0.000,1,1,0.628,0.061,-0.020,-0.100,-0.620,-0.120,-0.088,0.991,-0.038,0.048,0.016,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,2988,2988,0,22585.414,0.994,0.046,-0.058,-0.075,3087,189,1152,3089,4023,1013,645,1047,0,0.000,1,1,0.665,0.061,0.180,-0.160,-0.620,-0.113,-0.100,0.986,-0.038,0.048,0.016,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,2988,2988,0,22590.412,0.994,0.046,-0.058,-0.075,3099,187,1159,3091,4013,1015,643,1047,0,0.000,1,1,0.747,0.048,0.540,-0.420,0.300,-0.114,-0.098,0.989,0.032,-0.036,0.000,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,2988,2988,0,22595.412,0.994,0.046,-0.058,-0.075,3091,197,1159,3092,4007,1015,646,1049,0,0.000,1,1,0.506,0.048,0.040,-0.280,0.420,-0.122,-0.087,0.992,0.032,-0.036,0.000,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,2988,2988,0,22600.412,0.994,0.046,-0.058,-0.075,3093,198,1159,3099,4015,1015,647,1049,0,0.000,1,1,0.562,0.035,-0.020,-0.040,-0.560,-0.118,-0.097,0.988,-0.008,-0.034,0.000,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3005,3005,0,22605.412,0.994,0.046,-0.058,-0.075,3093,192,1160,3098,4016,1017,645,1047,0,0.000,1,1,0.744,0.035,0.600,-0.220,-0.380,-0.112,-0.102,0.984,-0.008,-0.034,-0.006,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3005,3005,0,22610.413,0.994,0.046,-0.058,-0.075,3099,197,1163,3095,4020,1017,639,1052,0,0.000,1,1,0.876,0.035,0.600,-0.420,0.480,-0.118,-0.092,0.991,-0.006,-0.034,-0.006,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3005,3005,0,22615.412,0.994,0.046,-0.058,-0.075,3087,192,1161,3089,4025,1017,640,1051,0,0.000,1,1,0.340,0.015,0.300,-0.160,0.000,-0.122,-0.089,0.992,-0.006,0.014,0.018,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3005,3005,0,22620.412,0.994,0.046,-0.058,-0.075,3091,197,1165,3083,4007,1018,643,1051,0,0.000,1,1,0.633,0.015,0.480,-0.160,-0.380,-0.114,-0.096,0.986,-0.006,0.014,0.018,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3005,3005,0,22625.412,0.994,0.046,-0.058,-0.075,3095,196,1162,3093,4012,1015,643,1051,0,0.000,1,1,0.660,0.032,0.480,-0.340,0.300,-0.116,-0.091,0.991,0.012,0.030,0.020,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3005,3005,0,22630.412,0.994,0.046,-0.058,-0.075,3087,189,1163,3089,4016,1018,647,1052,0,0.000,1,1,0.234,0.032,0.160,-0.160,0.060,-0.121,-0.088,0.992,0.012,0.030,0.020,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3018,3018,0,22635.412,0.994,0.046,-0.058,-0.075,3083,202,1160,3087,4005,1017,639,1049,0,0.000,1,1,0.495,0.031,0.160,-0.160,-0.440,-0.117,-0.096,0.989,0.008,0.030,0.020,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3018,3018,0,22640.411,0.994,0.046,-0.058,-0.075,3109,207,1164,3091,4017,1019,640,1055,0,0.000,1,1,0.409,0.009,0.340,-0.220,-0.060,-0.116,-0.093,0.989,0.008,0.004,0.000,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3034,3034,0,22645.412,0.994,0.046,-0.058,-0.075,3099,199,1163,3099,4017,1029,647,1059,0,0.000,1,1,0.440,0.009,0.340,-0.280,0.000,-0.120,-0.086,0.994,0.008,0.004,0.000,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3034,3034,0,22650.412,0.994,0.046,-0.058,-0.075,3087,201,1163,3091,4025,1031,649,1059,0,0.000,1,1,0.424,0.063,0.100,-0.160,-0.380,-0.118,-0.087,0.992,-0.012,0.062,0.026,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3034,3034,0,22655.411,0.994,0.046,-0.058,-0.075,3096,191,1163,3091,4012,1021,649,1054,0,0.000,1,1,0.326,0.063,-0.020,-0.220,-0.240,-0.114,-0.093,0.991,-0.012,0.062,0.026,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3034,3034,0,22660.411,0.994,0.046,-0.058,-0.075,3089,199,1163,3095,4019,1022,648,1055,0,0.000,1,1,0.382,0.028,-0.200,-0.220,0.240,-0.115,-0.094,0.990,0.026,0.010,0.014,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3050,3050,0,22665.411,0.994,0.046,-0.058,-0.075,3089,199,1160,3097,4016,1029,647,1051,0,0.000,1,1,0.417,0.027,-0.260,-0.220,0.240,-0.118,-0.095,0.989,0.026,-0.006,0.010,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3050,3050,0,22670.411,0.994,0.046,-0.058,-0.075,3096,192,1161,3093,4020,1020,639,1053,0,0.000,1,1,0.179,0.020,-0.080,-0.160,0.000,-0.118,-0.095,0.987,-0.004,-0.020,0.006,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3082,3082,0,22675.411,0.994,0.046,-0.058,-0.075,3123,205,1163,3124,4015,1031,647,1054,0,0.000,1,1,0.161,0.022,-0.020,-0.160,0.000,-0.116,-0.096,0.988,-0.004,-0.022,-0.010,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3082,3082,0,22680.412,0.994,0.046,-0.058,-0.075,3095,192,1171,3103,4013,1029,649,1059,0,0.000,1,1,0.244,0.023,0.040,-0.160,0.180,-0.117,-0.093,0.990,0.006,-0.022,-0.010,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3082,3082,0,22685.413,0.994,0.046,-0.058,-0.075,3099,198,1167,3100,4022,1039,648,1055,0,0.000,1,1,0.326,0.017,-0.020,-0.220,0.240,-0.118,-0.095,0.989,0.006,-0.016,0.000,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3082,3082,0,22690.411,0.994,0.046,-0.058,-0.075,3089,200,1166,3095,4027,1024,645,1057,0,0.000,1,1,0.295,0.016,-0.080,-0.220,0.180,-0.118,-0.095,0.988,-0.004,-0.016,0.000,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
baseline,3082,3082,0,22695.411,0.994,0.046,-0.058,-0.075,3090,201,1165,3090,4024,1031,646,1055,0,0.000,1,1,0.297,0.016,0.160,-0.220,-0.120,-0.116,-0.091,0.989,-0.004,-0.016,-0.006,0.000,0.000,0.000,0.000,2,0,0,0,7,255,0,250,0,0
