t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs,L_roll,L_pitch,L_yaw,L_relativeRoll,L_relativePitch,L_relativeYaw
303944.799,-0.983,0.069,-0.061,0.158,89,71,58,63,21,0,41,57,0,0.000,0,0,47.537,1.720,-18.340,43.840,1.220,0.172,-0.068,0.983,0.812,-1.516,-0.134,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.702,8.129,17.753,-6.702,8.129,17.753
303949.799,-0.983,0.067,-0.059,0.158,84,91,59,75,25,0,43,44,0,0.000,0,0,47.904,1.813,-21.080,42.940,2.560,0.168,-0.069,0.980,0.852,-1.600,-0.188,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.581,7.919,17.791,-6.581,7.919,17.791
303954.799,-0.984,0.066,-0.058,0.158,51,69,77,38,43,6,64,37,0,0.000,0,0,48.025,1.814,-22.300,42.440,2.820,0.173,-0.073,0.976,0.854,-1.600,-0.222,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.454,7.712,17.830,-6.454,7.712,17.830
303959.799,-0.984,0.065,-0.056,0.158,85,102,51,65,15,0,41,22,0,0.000,0,0,45.391,1.841,-20.220,40.500,3.360,0.171,-0.075,0.965,0.938,-1.584,-0.264,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.334,7.516,17.870,-6.334,7.516,17.870
303964.801,-0.984,0.063,-0.055,0.159,50,71,80,45,25,0,59,44,0,0.000,0,0,39.964,1.819,-17.180,35.920,3.420,0.170,-0.056,0.956,0.938,-1.558,-0.370,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.225,7.344,17.907,-6.225,7.344,17.907
303969.799,-0.984,0.062,-0.054,0.159,84,83,53,83,17,0,31,23,0,0.000,0,0,33.177,1.652,-13.340,30.240,2.880,0.173,-0.048,0.950,0.952,-1.350,-0.434,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.131,7.203,17.938,-6.131,7.203,17.938
303974.799,-0.984,0.062,-0.053,0.159,85,88,55,69,17,0,33,37,0,0.000,0,0,27.481,1.546,-9.660,25.600,2.560,0.169,-0.046,0.954,0.926,-1.238,-0.446,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.049,7.086,17.965,-6.049,7.086,17.965
303979.799,-0.984,0.061,-0.052,0.159,77,65,95,73,11,0,59,51,0,0.000,0,0,24.937,1.528,-8.020,23.520,2.080,0.150,-0.041,0.967,0.914,-1.224,-0.446,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-5.974,6.976,17.989,-5.974,6.976,17.989
303984.799,-0.984,0.060,-0.051,0.159,87,61,83,61,26,0,46,51,0,0.000,0,0,24.886,1.422,-7.100,23.820,1.220,0.146,-0.042,0.977,0.724,-1.224,-0.336,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-5.903,6.864,18.008,-5.903,6.864,18.008
303989.799,-0.984,0.059,-0.050,0.159,85,93,65,72,25,0,37,29,0,0.000,0,0,24.222,1.439,-4.300,23.820,0.920,0.147,-0.050,0.983,0.724,-1.244,-0.240,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-5.844,6.753,18.026,-5.844,6.753,18.026
303994.799,-0.984,0.059,-0.049,0.159,57,98,77,45,39,1,69,12,0,0.000,0,0,22.397,1.505,-1.060,22.360,0.740,0.146,-0.058,0.994,0.748,-1.306,-0.190,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-5.797,6.649,18.042,-5.797,6.649,18.042
303999.799,-0.984,0.058,-0.049,0.159,52,73,87,43,40,0,73,43,0,0.000,0,0,20.230,1.584,0.640,20.220,0.060,0.142,-0.068,1.010,0.764,-1.388,-0.090,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-5.757,6.554,18.054,-5.757,6.554,18.054
304004.803,-0.984,0.058,-0.048,0.159,56,87,73,43,39,0,61,17,0,0.000,0,0,17.834,1.688,1.320,17.780,-0.420,0.141,-0.075,1.024,0.766,-1.504,0.048,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-5.719,6.471,18.064,-5.719,6.471,18.064
304009.799,-0.984,0.058,-0.047,0.159,79,89,83,73,11,0,47,47,0,0.000,0,0,15.848,1.748,1.980,15.720,-0.360,0.138,-0.077,1.035,0.764,-1.572,0.178,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-5.683,6.398,18.073,-5.683,6.398,18.073
304014.799,-0.984,0.057,-0.047,0.159,44,92,77,40,49,0,67,9,0,0.000,0,0,15.166,1.773,2.960,14.860,-0.660,0.133,-0.078,1.038,0.756,-1.604,0.278,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-5.653,6.328,18.078,-5.653,6.328,18.078
304019.799,-0.984,0.057,-0.046,0.159,57,63,91,41,40,0,60,40,0,0.000,0,0,14.944,1.795,4.680,14.180,-0.600,0.134,-0.082,1.034,0.756,-1.628,0.278,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-5.629,6.262,18.083,-5.629,6.262,18.083
304024.799,-0.985,0.057,-0.046,0.159,89,83,53,61,16,0,51,26,0,0.000,0,0,13.999,1.812,6.880,12.180,-0.540,0.139,-0.084,1.030,0.758,-1.646,0.260,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-5.615,6.207,18.091,-5.615,6.207,18.091
