t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs,L_roll,L_pitch,L_yaw,L_relativeRoll,L_relativePitch,L_relativeYaw
10600.812,1.000,0.018,-0.000,0.000,77,71,86,65,23,0,46,52,0,0.000,0,0,0.115,0.008,0.100,0.040,0.040,-0.001,-0.038,1.002,0.002,0.008,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
10605.811,1.000,0.018,-0.000,0.000,93,100,59,79,26,0,40,43,0,0.000,0,0,0.110,0.008,0.100,-0.020,0.040,-0.001,-0.037,1.002,-0.002,-0.008,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
10610.811,1.000,0.018,-0.000,0.000,63,95,73,47,47,0,64,25,0,0.000,0,0,0.110,0.008,0.100,-0.020,0.040,0.000,-0.036,1.002,-0.002,-0.008,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
10615.811,1.000,0.018,-0.000,0.000,79,92,75,61,35,0,42,39,0,0.000,0,0,0.110,0.003,0.100,-0.020,0.040,0.000,-0.037,1.002,0.002,-0.002,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
10620.811,1.000,0.018,-0.000,0.000,87,93,57,64,39,3,40,21,0,0.000,0,0,0.110,0.003,0.100,-0.020,0.040,0.000,-0.036,1.002,0.002,0.002,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
10625.811,1.000,0.018,-0.000,0.000,81,71,89,77,27,5,56,44,0,0.000,0,0,0.060,0.003,0.040,-0.020,0.040,-0.001,-0.036,1.002,0.002,0.002,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
10630.811,1.000,0.018,-0.000,0.000,57,77,87,68,20,0,44,43,0,0.000,0,0,0.060,0.003,-0.020,0.040,0.040,-0.001,-0.037,1.002,-0.002,0.002,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
10635.811,1.000,0.018,-0.000,0.000,57,90,49,44,36,5,49,12,0,0.000,0,0,0.060,0.006,0.040,-0.020,0.040,-0.001,-0.037,1.003,-0.002,-0.006,-0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
10640.811,1.000,0.018,-0.000,0.000,55,71,88,43,46,4,76,25,0,0.000,0,0,0.110,0.008,0.100,-0.020,0.040,-0.001,-0.037,1.002,-0.002,-0.008,-0.006,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
10645.811,1.000,0.018,-0.000,0.000,69,96,59,45,37,0,43,11,0,0.000,0,0,0.115,0.008,0.100,0.040,0.040,0.000,-0.038,1.002,-0.002,-0.008,-0.006,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.111,-0.043,-0.001,2.111,-0.043,-0.001
