t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs,L_roll,L_pitch,L_yaw,L_relativeRoll,L_relativePitch,L_relativeYaw
150019.817,0.972,-0.090,-0.205,-0.067,3241,0,0,3384,0,43,0,293,47,0.939,59,0,229.354,24.400,-48.160,-160.480,-156.620,1.503,-1.994,1.690,20.172,-13.728,-5.470,0.532,0.362,1.290,1.206,0,2,1,0,7,255,1000,250,3,1000,-12.650,-22.740,10.408,-12.650,-22.740,10.408
150024.815,0.974,-0.085,-0.198,-0.068,3257,0,0,3413,0,54,0,298,47,0.939,59,0,187.806,26.758,-120.420,-142.160,23.680,0.908,-1.782,1.760,20.172,-17.580,-4.620,0.450,0.280,1.290,1.206,0,2,1,0,7,255,1000,250,8,1000,-12.030,-22.019,10.368,-12.030,-22.019,10.368
150029.816,0.975,-0.079,-0.192,-0.075,3271,0,0,3425,0,71,0,317,47,0.939,60,0,258.165,24.422,-177.360,-120.260,143.980,0.129,-0.945,1.238,16.952,-17.580,-0.962,0.372,0.204,1.290,1.206,1,2,1,0,7,255,1000,250,13,1000,-11.371,-21.283,10.995,-11.371,-21.283,10.995
150034.816,0.976,-0.074,-0.186,-0.084,3288,0,0,3463,0,85,0,327,47,0.939,60,0,277.071,12.265,-177.740,-119.580,175.720,-0.530,-0.046,0.719,7.166,-9.954,-0.962,0.322,0.160,1.290,1.206,1,2,1,0,7,255,1000,250,18,1000,-10.764,-20.527,11.795,-10.764,-20.527,11.795
150039.815,0.977,-0.070,-0.180,-0.090,3299,0,0,3461,10,104,0,327,47,0.939,60,0,208.236,2.594,-112.240,-121.040,126.940,-0.809,0.573,0.526,-1.834,-1.834,-1.478,0.300,0.148,1.290,1.206,1,2,1,0,7,255,1000,250,23,1000,-10.388,-19.815,12.341,-10.388,-19.815,12.341
150044.815,0.978,-0.069,-0.174,-0.092,3299,0,0,3437,20,115,0,338,47,0.939,60,0,137.941,6.581,-37.040,-124.900,45.340,-0.773,0.643,0.671,-5.422,3.730,-1.478,0.290,0.150,1.290,1.206,1,2,1,0,7,255,1000,250,28,1000,-10.239,-19.159,12.458,-10.239,-19.159,12.458
150049.815,0.979,-0.070,-0.169,-0.090,3303,0,0,3463,35,123,0,371,47,0.939,60,0,124.467,6.581,4.340,-122.380,-22.280,-0.418,0.258,1.014,-5.422,3.730,-0.222,0.280,0.148,1.290,1.206,1,2,1,0,7,255,1000,250,33,1000,-10.183,-18.576,12.227,-10.183,-18.576,12.227
150054.815,0.980,-0.071,-0.164,-0.088,3293,0,0,3444,39,155,0,407,47,0.939,60,0,125.633,1.120,14.960,-114.280,-50.000,0.033,-0.140,1.483,-0.542,0.980,1.118,0.260,0.130,1.290,1.206,1,2,1,0,7,255,1000,250,38,1000,-10.140,-18.057,11.862,-10.140,-18.057,11.862
150059.816,0.981,-0.072,-0.162,-0.084,3315,0,0,3445,52,189,0,411,47,0.939,60,0,115.518,6.123,38.200,-72.700,-81.240,0.322,-0.313,1.880,5.602,-2.472,3.394,0.234,0.102,1.290,1.206,1,2,1,0,7,255,1000,250,43,1000,-10.178,-17.769,11.374,-10.178,-17.769,11.374
150064.816,0.981,-0.071,-0.159,-0.083,3290,0,0,3455,61,233,0,457,47,0.939,60,0,67.053,10.206,-25.140,-53.660,-31.380,0.510,-0.301,1.508,9.680,-3.234,3.394,0.214,0.072,1.290,1.206,1,2,1,0,7,255,1000,250,48,1000,-9.985,-17.532,11.162,-9.985,-17.532,11.162
150069.817,0.982,-0.069,-0.157,-0.084,3303,0,0,3447,77,272,0,471,47,0.939,60,0,73.593,10.206,-42.720,-45.920,38.500,0.371,0.217,1.133,9.680,-3.234,2.006,0.206,0.054,1.290,1.206,1,2,1,0,7,255,1000,250,53,1000,-9.815,-17.272,11.319,-9.815,-17.272,11.319
